pose,timestamp_ms,pv1,pv2,pv3,pv4,pv5,pv6,pv7,pv8,pv9,pv10,pv11
0,0,521,661,514,434,433,503,500,482,361,408,192
0,202,522,660,505,433,432,503,502,476,356,408,197
0,406,523,661,500,434,431,500,504,479,360,401,192
0,609,522,662,502,434,430,501,505,479,356,402,191
0,813,522,663,503,435,431,501,503,481,355,398,190
0,1015,523,662,498,436,426,499,506,482,354,400,186
0,1219,522,663,493,429,415,500,509,482,345,388,188
0,1423,526,663,497,433,420,500,510,483,355,393,195
0,1626,527,663,500,436,424,501,510,483,360,384,195
0,1829,529,664,501,437,428,501,510,484,361,391,196
0,2033,529,664,503,439,429,504,512,483,363,396,197
0,2236,528,663,505,440,435,507,515,483,366,400,198
0,2440,526,662,506,439,439,509,517,483,368,402,199
0,2643,526,661,508,440,444,510,518,484,372,406,201
0,2846,529,662,512,441,445,511,520,485,373,407,201
0,3050,529,662,513,443,443,510,520,485,375,406,202
0,3254,528,662,516,443,444,510,522,486,375,406,205
0,3457,530,663,517,444,446,510,522,487,376,410,202
0,3660,529,663,518,447,447,512,522,486,377,414,204
0,3864,529,663,518,445,446,511,524,488,376,414,204
0,4067,529,663,517,451,446,508,524,489,376,414,200
0,4271,529,662,515,453,445,513,525,489,378,407,197
0,4473,530,662,514,452,446,513,524,488,381,411,198
0,4677,528,662,509,452,442,511,525,489,376,408,196
0,4881,528,662,512,452,447,509,527,490,375,402,191
0,5084,530,662,507,451,446,509,526,491,376,398,190
0,5287,529,661,506,452,448,511,527,491,373,395,188
0,5491,530,661,506,451,448,510,529,493,374,395,192
0,5694,529,660,507,450,451,509,529,491,376,398,195
0,5898,530,661,507,452,453,513,532,493,380,401,190
0,6102,531,661,508,451,454,511,531,493,380,398,194
0,6304,531,661,509,450,454,510,532,494,378,398,193
0,6508,530,661,509,453,455,509,531,493,376,396,192
0,6712,531,661,510,450,460,507,530,493,379,393,191
0,6915,532,662,509,451,459,509,528,491,381,391,187
0,7118,534,661,512,450,459,508,526,489,377,387,189
0,7322,536,663,513,451,458,508,527,491,382,389,189
0,7525,535,662,512,451,456,510,529,492,376,389,189
0,7729,535,662,515,450,457,513,530,493,387,398,193
0,7932,536,662,515,451,457,511,530,491,391,398,194
0,8135,537,660,513,450,459,510,531,492,389,399,193
0,8339,537,659,513,451,460,509,532,493,388,400,188
0,8542,538,660,512,451,457,511,531,491,386,400,188
0,8745,539,661,515,450,454,510,530,493,388,402,191
0,8949,540,661,516,450,456,510,531,493,388,404,191
0,9152,539,661,517,451,460,511,532,493,389,410,189
0,9356,539,662,516,450,461,514,532,493,388,408,195
0,9560,539,662,517,448,461,515,533,494,385,404,196
0,9762,539,662,518,449,462,515,534,495,388,402,191
0,9966,539,662,518,449,462,514,534,495,388,403,191
0,10170,539,662,518,449,460,513,535,496,386,402,194
0,10373,538,662,516,450,462,513,534,497,382,402,190
0,10576,539,663,518,453,461,512,534,498,383,400,189
0,10780,540,662,516,440,438,508,533,493,366,398,180
0,10983,539,662,508,447,444,511,532,491,370,400,174
0,11187,538,661,509,446,445,511,534,493,370,388,171
0,11390,537,661,506,446,446,514,534,495,376,385,172
0,11594,536,662,507,448,448,514,534,497,378,394,177
0,11797,540,662,508,447,450,513,534,497,377,387,187
0,12001,541,662,510,448,448,514,533,496,378,386,187
0,12205,539,662,510,447,450,514,534,498,377,388,185
0,12407,539,662,510,447,451,515,536,499,376,390,185
0,12611,538,661,508,447,452,514,535,498,378,386,187
0,12815,541,662,509,448,452,514,536,500,378,387,190
0,13018,540,662,509,451,453,514,537,500,378,387,187
0,13221,540,662,511,452,455,512,537,498,377,387,180
0,13425,540,663,511,453,455,515,537,498,379,390,182
0,13628,539,663,511,442,425,513,532,495,360,367,171
0,13832,539,663,508,441,425,516,533,497,365,368,175
0,14035,540,663,506,445,426,517,535,496,367,383,179
0,14239,540,664,508,447,429,518,536,496,373,387,179
0,14442,541,663,509,447,431,519,535,497,375,386,184
0,14646,540,663,509,449,432,519,535,498,376,386,180
0,14850,540,663,510,449,434,519,537,499,375,382,175
0,15052,540,663,511,450,434,519,539,500,376,384,177
0,15256,542,663,511,450,437,519,540,499,375,383,178
0,15460,540,663,510,451,440,518,540,499,377,379,177
0,15663,539,663,508,451,440,520,540,500,377,377,182
0,15866,540,663,509,450,439,518,540,499,375,383,185
0,16070,538,664,513,451,440,520,541,499,375,384,175
0,16273,538,664,512,452,443,520,539,494,377,386,172
0,16477,538,665,507,455,445,521,541,497,377,378,168
0,16680,529,663,500,444,435,519,541,496,360,382,185
0,16883,530,662,502,446,438,520,542,497,360,373,179
0,17087,532,662,504,449,439,520,542,498,366,379,181
0,17291,532,662,504,450,440,520,543,499,367,378,186
0,17495,534,662,505,453,441,521,544,498,372,379,188
0,17697,535,662,506,453,447,520,543,492,376,375,186
0,17901,535,663,508,455,449,520,544,499,376,376,181
0,18105,536,662,507,454,451,520,544,498,378,378,187
0,18308,538,662,507,454,451,522,545,499,380,381,187
0,18511,538,662,507,453,450,522,544,499,377,378,185
0,18715,538,662,507,453,451,521,545,500,378,375,190
0,18918,540,662,507,453,452,523,546,501,380,380,195
0,19122,539,663,507,454,452,523,547,501,381,382,191
0,19325,539,663,508,454,455,524,546,500,382,382,194
0,19528,537,664,502,454,452,520,546,496,380,383,191
0,19732,535,663,503,458,458,517,543,469,399,431,196
0,19936,538,665,510,465,462,521,540,469,402,435,196
0,20140,539,666,511,467,463,523,543,472,407,440,193
0,20342,540,665,516,465,457,524,542,474,401,435,199
0,20546,539,666,511,471,467,524,540,470,410,442,195
0,20750,538,666,516,473,469,526,541,469,417,443,195
0,20953,540,666,516,462,457,527,542,471,392,414,191
0,21156,540,667,517,459,446,527,543,473,382,388,195
0,21360,541,667,512,454,435,525,544,473,358,381,195
0,21563,541,666,509,458,444,526,545,477,369,388,191
0,21767,540,664,508,461,450,520,546,480,379,386,185
0,21970,541,664,506,464,453,522,546,481,380,390,184
0,22173,544,664,506,464,454,522,546,481,384,396,186
0,22377,542,664,503,465,457,522,546,485,383,413,192
0,22581,543,665,503,467,460,521,546,488,381,416,184
0,22785,543,664,504,468,459,521,545,486,382,415,186
