pose,timestamp_ms,pv1,pv2,pv3,pv4,pv5,pv6,pv7,pv8,pv9,pv10,pv11
0,0,363,502,570,614,606,800,540,385,643,602,355
0,1002,425,511,552,639,585,781,552,481,624,562,281
0,2006,401,501,569,649,602,791,534,459,654,584,270
0,3009,400,509,578,651,612,794,517,461,658,585,290
0,4013,398,505,581,649,622,805,535,471,663,581,286
0,5016,411,513,585,651,622,805,539,477,652,591,283
0,6020,408,515,591,653,627,805,541,478,662,600,302
0,7023,412,518,593,655,629,806,546,480,663,603,308
0,8027,410,517,588,646,623,804,550,481,646,603,301
0,9030,404,512,592,653,629,807,547,481,658,605,276
0,10033,407,515,594,654,632,808,550,483,661,607,290
0,11036,414,522,592,654,628,800,542,473,666,605,290
0,12040,415,523,594,654,630,807,547,475,665,607,294
0,13043,420,526,592,658,628,806,545,471,666,608,303
0,14047,422,525,589,655,624,804,545,479,658,605,309
0,15050,422,528,593,655,630,804,546,480,661,608,307
0,16054,425,528,594,657,631,804,549,475,662,612,308
0,17057,420,520,591,653,632,806,550,479,661,607,301
0,18061,418,518,565,640,610,799,558,476,649,591,264
0,19064,406,512,582,645,629,806,552,478,653,601,288
0,20068,406,505,546,653,642,782,535,467,673,600,225
0,21071,418,522,589,649,615,806,543,471,641,606,294
0,22075,422,530,581,651,604,803,557,477,648,616,309
0,23078,427,534,584,650,616,802,564,470,654,620,310
0,24082,426,535,587,653,616,803,558,457,658,625,313
0,25085,430,537,588,650,608,796,562,477,650,629,322
0,26089,422,528,550,664,649,781,556,447,694,622,292
0,27091,426,503,550,648,641,806,565,444,665,598,266
0,28095,389,513,589,647,631,813,554,454,652,625,261
0,29099,397,518,593,655,634,815,548,459,653,627,277
0,30102,384,514,597,660,635,814,550,467,660,630,266
0,31106,389,520,600,663,639,815,552,470,661,634,280
0,32109,394,519,569,662,648,785,543,464,685,634,256
0,33113,401,520,585,654,624,817,553,465,655,626,280
0,34116,405,524,578,659,631,810,553,467,661,627,282
0,35120,404,527,590,658,631,816,550,472,656,630,300
0,36123,398,514,570,650,623,813,565,466,644,629,261
0,37127,401,527,598,661,635,812,546,457,665,636,318
0,38130,405,532,605,662,639,814,545,461,669,639,315
0,39134,407,535,605,663,637,812,532,456,670,643,311
0,40137,403,531,604,663,644,814,546,456,670,641,299
0,41141,407,525,601,661,643,815,549,466,665,641,303
0,42144,405,527,606,661,648,816,551,469,668,642,297
0,43148,407,527,607,661,649,816,552,470,666,643,305
0,44150,407,527,606,661,649,816,551,471,666,643,307
0,45154,409,528,603,661,647,818,555,473,667,642,309
0,46157,409,528,596,662,647,818,555,473,667,639,309
0,47161,412,530,599,661,647,817,555,476,666,640,325
0,48164,412,530,599,660,646,819,556,469,665,640,328
0,49168,415,533,600,660,647,819,556,470,667,639,326
0,50171,415,533,601,660,646,819,555,471,666,640,327
0,51175,410,534,597,661,644,819,558,471,663,638,324
0,52178,412,533,595,661,641,819,551,460,665,640,321
0,53182,402,531,589,656,639,818,554,459,657,636,318
0,54185,411,528,593,658,643,820,554,463,664,636,303
0,55189,421,535,576,650,639,817,554,465,658,633,317
0,56193,422,535,592,658,645,818,550,464,665,641,311
0,57196,428,540,589,657,642,816,545,462,662,639,324
0,58200,431,542,592,657,643,816,545,465,665,642,332
0,59203,431,543,592,659,646,817,546,461,662,640,332
0,60207,430,538,588,654,631,812,536,459,652,635,301
0,61209,432,539,590,653,629,814,537,467,650,634,310
0,62213,434,539,592,655,630,813,541,472,651,634,314
0,63216,436,541,593,655,634,813,541,475,653,636,316
0,64220,439,544,594,656,630,812,535,473,646,637,317
0,65223,451,556,594,655,594,809,517,467,641,633,247
0,66227,453,550,589,659,605,807,499,457,646,635,267
0,67230,468,545,570,628,563,799,553,508,589,562,191
0,68234,504,572,525,565,510,756,566,564,480,560,214
0,69237,516,581,522,579,524,776,573,558,481,558,203
0,70241,505,575,523,584,533,778,579,566,495,553,186
0,71244,490,569,530,590,546,772,582,573,513,542,173
1,72248,495,573,536,594,555,776,579,564,522,559,202
1,73251,505,581,534,589,529,776,576,574,503,544,190
1,74255,515,585,531,584,528,770,574,576,502,537,197
1,75258,518,587,534,587,538,770,578,586,513,542,204
1,76262,518,589,533,587,541,771,579,591,513,545,210
1,77265,521,588,532,588,544,772,587,597,515,542,214
1,78268,522,590,533,590,546,770,578,596,518,546,225
1,79271,518,582,516,586,526,775,576,584,509,542,213
1,80275,523,585,523,576,523,761,578,592,488,539,231
1,81278,506,574,528,595,549,774,563,569,511,579,233
1,82282,519,582,524,597,557,777,568,572,526,561,215
1,83286,526,589,518,583,554,771,572,579,505,548,238
1,84289,524,589,526,586,552,774,579,586,505,564,252
1,85293,525,589,522,574,539,766,583,594,484,514,191
1,86296,526,587,526,583,525,756,574,594,505,541,202
1,87300,497,570,533,597,556,778,571,559,527,580,208
1,88303,504,576,537,601,565,779,568,566,537,584,219
1,89307,515,562,461,584,557,749,558,580,560,504,174
1,90310,513,568,495,571,523,748,560,585,491,522,185
1,91314,513,581,531,581,526,765,562,568,500,572,226
1,92317,520,587,531,594,557,767,560,559,543,579,226
1,93321,523,590,519,556,505,741,562,579,467,518,189
1,94324,519,576,527,571,527,767,569,579,481,570,229
1,95328,521,581,534,582,540,767,571,587,499,574,241
1,96330,519,580,535,580,544,768,573,595,490,579,225
1,97334,514,578,542,591,553,771,571,574,505,589,217
1,98337,522,584,540,589,555,759,571,595,513,552,202
1,99341,469,541,513,594,544,753,578,606,546,574,191
1,100344,509,580,548,604,542,756,570,587,520,587,233
