pose,timestamp_ms,pv1,pv2,pv3,pv4,pv5,pv6,pv7,pv8,pv9,pv10,pv11
0,0,423,609,591,548,245,464,448,412,406,700,426
0,202,423,609,590,548,249,464,448,411,407,700,426
0,406,422,609,591,547,247,465,448,412,408,700,424
0,609,422,608,590,548,247,465,449,412,403,700,423
0,813,410,600,579,542,238,453,450,417,331,688,389
0,1015,407,600,572,543,243,451,451,416,348,688,403
0,1219,397,598,573,539,245,448,451,417,309,679,383
0,1423,513,618,545,531,236,381,442,426,176,516,166
0,1626,604,646,551,441,181,381,448,427,150,408,69
0,1829,586,661,581,449,222,407,476,435,181,488,142
0,2033,518,670,608,481,283,466,523,451,230,569,222
0,2236,429,632,561,351,358,516,577,472,280,611,252
0,2440,450,554,513,423,366,595,598,477,324,622,326
0,2643,441,572,534,437,367,590,598,475,329,642,360
0,2846,405,586,538,457,323,581,603,481,329,628,349
0,3050,430,614,560,488,283,568,578,456,338,647,366
0,3254,436,625,564,512,267,566,561,448,363,662,370
0,3457,445,631,566,527,250,552,551,442,367,673,377
0,3660,449,635,563,532,268,564,538,436,375,681,394
0,3863,450,635,570,534,260,566,540,436,378,683,390
0,4067,451,638,572,537,263,561,541,441,385,688,383
0,4271,454,639,573,537,273,557,538,433,387,687,389
0,4473,450,644,579,517,273,531,547,451,349,684,376
0,4677,423,626,572,479,319,567,574,470,343,674,367
0,4881,395,593,560,447,361,583,595,481,336,658,342
0,5084,375,577,555,429,405,602,600,477,324,650,338
0,5287,386,553,552,431,418,612,602,475,329,650,315
0,5491,391,555,556,439,420,619,625,490,334,648,330
0,5694,396,558,555,454,392,608,627,474,319,670,316
0,5898,401,566,565,467,403,610,592,447,335,678,318
0,6102,407,572,570,478,394,608,598,471,339,672,320
0,6304,401,579,561,465,368,588,602,477,327,662,307
0,6508,410,573,560,414,373,566,596,467,306,625,265
0,6712,400,512,493,325,313,529,602,513,255,538,178
0,6915,385,518,481,326,379,557,615,506,276,561,213
0,7118,373,521,505,377,373,574,622,499,300,598,246
0,7322,386,526,510,407,399,591,607,477,304,603,253
0,7525,395,549,544,441,402,595,598,453,338,621,282
0,7729,402,557,555,453,397,602,597,452,345,626,288
0,7931,405,559,559,468,402,601,590,445,345,638,287
0,8135,407,561,561,470,397,600,590,446,352,646,291
0,8339,408,560,562,468,409,607,594,450,362,648,297
0,8542,410,562,564,476,405,608,593,448,363,650,295
0,8745,410,560,564,478,398,609,590,445,364,644,286
0,8949,409,557,566,479,396,610,591,443,362,638,279
0,9152,412,559,568,481,402,610,591,444,368,635,280
0,9356,412,558,570,481,397,610,592,445,374,636,281
0,9560,414,559,569,482,402,610,593,446,370,640,281
0,9762,413,560,570,482,402,610,592,447,374,640,280
0,9966,416,561,571,484,406,611,592,448,376,645,280
0,10170,415,562,573,484,405,612,592,448,380,643,280
0,10373,416,563,573,487,405,612,592,448,383,645,277
0,10576,417,564,573,489,405,612,593,448,386,643,276
0,10780,417,564,573,489,405,612,593,450,385,645,280
0,10983,419,566,574,489,409,613,593,451,387,644,282
0,11187,419,566,575,490,409,613,594,450,387,644,283
0,11390,420,567,574,491,410,614,594,450,389,644,284
0,11593,420,567,574,491,408,614,595,452,389,645,283
0,11797,422,568,575,491,409,615,595,453,391,645,282
0,12001,422,568,575,491,408,615,595,454,392,646,283
0,12205,424,569,576,492,406,615,595,454,392,643,286
0,12407,424,570,576,493,405,614,594,454,391,640,287
0,12611,425,569,576,492,407,614,595,453,392,642,289
0,12815,424,570,577,493,406,615,596,454,392,641,289
0,13018,423,570,577,492,407,615,596,453,393,643,287
0,13221,424,569,577,492,403,616,597,454,388,643,286
0,13425,425,570,578,492,398,615,597,455,387,645,285
0,13628,427,571,579,492,403,615,597,455,389,643,288
0,13832,425,571,579,493,408,615,597,454,388,645,289
0,14035,426,572,578,492,407,615,597,455,389,644,292
0,14238,427,572,579,492,408,616,598,456,391,645,293
0,14442,426,572,580,493,411,615,597,452,392,645,292
0,14646,426,572,580,494,412,615,597,452,393,643,291
0,14850,426,573,580,493,412,615,597,452,393,644,292
0,15052,427,572,579,493,409,615,596,451,390,643,292
0,15256,428,574,580,495,411,616,596,452,393,644,291
0,15460,428,573,580,494,412,616,596,452,393,645,292
0,15663,427,574,581,494,399,612,595,452,391,643,290
0,15866,428,575,583,494,375,612,592,443,380,631,288
0,16070,433,578,584,502,385,611,586,433,379,636,296
0,16273,435,578,583,504,386,612,588,435,378,632,296
0,16477,435,578,583,505,386,612,587,436,382,639,296
0,16680,435,578,583,505,391,612,590,440,383,642,297
0,16883,432,575,581,498,393,612,592,444,381,643,297
0,17087,429,572,579,490,398,613,593,447,381,641,290
0,17291,431,572,580,492,400,613,594,447,383,646,291
0,17495,429,574,582,494,403,613,594,447,385,647,292
0,17697,429,575,582,496,408,614,593,448,388,648,293
0,17901,429,575,582,496,411,614,594,449,388,649,294
0,18105,429,575,582,497,410,615,595,449,391,648,295
0,18308,431,576,583,498,408,615,593,449,392,651,296
0,18511,430,575,582,497,409,615,594,449,391,651,295
0,18715,431,575,582,498,409,615,594,450,391,653,294
0,18918,432,576,583,498,409,615,595,450,391,653,295
0,19122,433,575,583,497,409,615,594,451,390,653,295
0,19325,433,576,583,498,411,614,595,451,392,654,295
0,19528,432,576,582,497,410,615,594,450,393,655,296
0,19732,432,576,583,498,411,614,594,451,395,656,295
0,19936,433,576,583,497,413,616,595,451,394,657,296
0,20140,432,575,583,497,412,614,594,450,393,658,295
0,20342,435,576,584,499,413,614,594,451,395,658,297
0,20546,434,576,583,498,414,615,595,451,395,658,297
0,20750,433,576,583,496,412,615,596,452,394,656,296
0,20953,434,576,581,496,419,619,596,450,392,655,293
0,21156,441,579,584,503,415,613,592,446,394,656,296
0,21360,439,582,583,508,402,615,594,444,390,646,292
0,21563,442,595,578,511,362,606,606,451,362,634,349
0,21767,445,607,565,472,375,605,635,490,312,654,398
0,21970,447,583,551,404,435,631,646,451,312,676,413
0,22173,451,563,561,432,519,652,649,425,319,698,394
0,22377,447,600,576,504,364,620,602,530,311,683,421
0,22581,344,604,612,578,379,641,596,504,364,740,394
0,22785,402,602,607,566,424,654,611,496,360,750,431
0,22987,449,601,605,575,424,651,587,506,364,744,438
0,23191,470,596,592,531,419,626,587,468,363,722,439
0,23395,448,566,577,518,441,649,598,444,372,727,402
0,23598,441,568,585,524,456,652,601,426,386,731,385
0,23801,420,557,582,520,444,654,601,420,380,736,365
0,24005,403,567,586,521,449,649,599,446,374,737,375
0,24208,404,567,580,517,437,647,599,445,378,736,380
0,24412,405,569,584,519,442,644,596,444,383,739,385
0,24615,408,568,582,524,440,644,601,444,385,739,388
0,24818,411,569,582,525,443,645,603,445,382,736,391
0,25022,414,569,589,526,442,645,598,444,384,735,388
0,25226,415,570,590,526,439,642,601,447,386,737,391
0,25430,410,568,591,523,445,644,603,449,383,735,386
0,25632,413,569,592,524,443,645,603,448,388,735,386
0,25836,409,568,593,526,440,649,603,447,386,735,388
0,26040,410,570,594,528,441,650,604,449,386,735,389
0,26243,411,569,594,530,447,650,604,449,386,736,384
0,26446,413,568,596,532,446,651,605,450,385,737,384
0,26650,416,568,596,533,449,651,604,451,387,739,384
0,26853,417,568,598,534,452,650,604,453,388,739,383
0,27057,418,568,598,536,452,652,604,452,387,739,380
0,27260,420,568,600,538,452,653,604,453,388,740,380
0,27463,421,569,601,539,453,655,606,453,388,740,380
0,27667,422,566,601,539,454,655,607,453,389,739,379
0,27871,422,565,602,540,457,656,606,454,392,741,379
0,28075,422,564,602,540,456,657,607,455,394,741,378
0,28277,422,565,602,539,458,657,606,455,392,741,377
0,28481,425,565,602,541,459,658,607,456,393,740,377
0,28685,425,566,602,540,459,659,607,462,395,738,378
