pose,timestamp_ms,pv1,pv2,pv3,pv4,pv5,pv6,pv7,pv8,pv9,pv10,pv11
1,116399,442,538,654,443,491,628,472,472,453,376,63
1,117402,437,541,673,424,494,629,481,488,436,360,54
1,118406,443,542,673,436,517,629,489,504,450,373,45
1,119409,432,530,652,479,493,625,462,493,471,410,12
1,120413,442,536,671,438,494,630,486,514,444,379,69
1,121416,438,536,673,440,501,632,488,515,452,367,75
1,122420,444,538,673,443,508,632,490,518,456,369,55
1,123423,453,549,673,442,497,632,487,503,446,331,38
1,124427,446,544,672,454,515,631,490,506,457,369,34
1,125429,449,547,675,440,510,633,492,513,452,347,49
1,126433,451,548,676,445,513,634,491,513,458,357,57
1,127436,453,548,677,447,511,633,492,518,461,355,53
1,128440,453,551,678,449,514,633,492,519,462,352,61
1,129443,453,551,678,451,516,632,494,520,463,356,63
1,130447,455,553,676,449,516,634,494,520,464,345,59
1,131450,468,566,686,449,479,629,475,507,441,330,29
1,132454,475,576,683,449,487,634,483,514,446,334,47
1,133457,489,574,631,279,342,612,560,571,264,300,60
1,134461,456,535,570,279,284,600,553,577,243,262,49
1,135464,438,540,627,358,393,618,526,542,337,313,82
1,136468,438,519,620,363,398,627,551,568,330,301,58
1,137472,467,547,601,334,344,618,526,536,306,301,77
2,138475,454,519,608,326,316,609,544,563,286,321,70
2,139479,462,532,619,347,349,617,540,563,316,320,79
2,140482,473,550,637,377,377,613,500,522,341,354,73
2,141486,472,560,535,141,190,589,528,488,135,450,275
2,142488,489,554,481,104,123,560,584,599,97,388,247
2,143492,438,558,491,108,117,567,584,609,125,418,297
2,144495,441,564,528,158,149,576,522,467,147,457,300
2,145499,449,568,538,181,176,591,534,465,168,481,313
2,146502,453,569,542,179,175,593,536,472,183,482,319
2,147506,455,569,543,187,188,593,540,478,195,483,324
2,148509,457,570,541,186,177,593,542,485,190,478,324
2,149513,459,571,539,182,169,594,542,485,184,476,327
2,150516,460,572,539,173,156,587,542,488,168,469,320
2,151520,457,571,545,193,194,598,540,474,209,474,299
2,152523,501,593,540,192,130,541,469,482,189,495,241
2,153527,519,592,548,182,131,562,495,501,142,447,288
2,154530,457,571,524,179,140,559,517,497,177,484,262
2,155534,450,557,553,174,199,586,531,487,182,489,299
2,156537,460,568,505,141,135,578,537,495,126,471,318
2,157541,462,576,526,173,159,585,535,491,141,499,350
2,158544,442,578,534,163,149,586,537,499,134,504,357
2,159548,417,578,545,178,158,591,539,501,152,512,356
2,160551,427,578,548,188,170,594,540,496,182,516,335
2,161555,434,579,535,172,149,589,541,504,123,514,358
2,162558,433,579,525,162,147,586,540,506,142,512,343
2,163562,431,580,529,175,166,590,542,508,167,517,359
2,164566,439,579,523,179,168,590,543,509,167,512,363
2,165569,446,580,531,172,170,591,541,499,170,507,329
2,166573,450,580,523,180,144,586,540,505,139,494,337
2,167576,453,581,525,175,142,582,540,507,155,504,335
2,168580,455,582,526,187,170,584,543,510,176,511,352
2,169583,462,582,513,174,117,576,546,509,158,461,316
2,170587,463,580,528,173,171,582,540,507,165,513,340
2,171590,457,572,530,189,180,591,544,502,191,507,346
2,172594,464,578,538,202,172,591,542,503,168,504,338
2,173597,467,580,545,193,166,585,537,507,175,510,351
2,174601,469,581,550,210,185,588,538,508,197,521,362
2,175604,468,582,549,187,161,580,539,513,176,526,356
2,176608,477,583,546,209,207,591,541,508,197,518,344
2,177611,491,591,483,148,109,553,521,421,126,517,297
2,178615,458,537,482,124,142,503,493,524,131,467,238
2,179618,461,533,472,166,203,552,526,528,162,530,258
2,180622,465,560,505,188,138,534,507,507,136,555,282
2,181625,472,565,526,213,150,538,511,514,165,568,290
2,182629,477,567,532,220,146,537,514,515,171,571,300
2,183632,482,569,535,215,130,535,514,517,159,563,295
2,184636,484,571,539,226,139,536,517,520,162,568,303
2,185639,484,573,539,233,149,539,516,520,176,571,307
2,186643,486,575,542,236,152,541,518,520,182,574,310
2,187646,485,574,542,239,159,542,517,520,180,578,306
2,188650,487,574,542,235,162,544,517,521,175,575,302
2,189654,486,576,545,240,153,542,517,521,183,575,303
2,190657,487,576,547,242,143,541,518,521,179,573,305
2,191661,501,576,537,220,109,529,508,514,131,539,253
2,192664,578,617,456,143,74,490,478,503,53,462,261
2,193667,578,615,438,129,74,491,487,502,50,463,277
2,194670,584,604,366,99,24,465,478,504,38,378,216
2,195674,481,586,492,202,107,519,499,514,96,535,300
2,196677,516,585,467,154,112,506,496,512,58,472,234
2,197681,383,535,600,353,436,614,491,524,369,422,18
2,198684,400,598,0,0,0,43,640,506,0,704,581
3,199688,450,540,0,0,0,86,523,532,0,704,616
3,200690,363,486,0,0,0,242,673,484,0,762,566
3,201694,466,524,0,0,0,26,500,557,0,627,622
3,202696,473,531,0,0,0,20,462,542,0,629,649
3,203700,474,537,0,0,0,72,472,513,0,677,646
3,204703,459,544,0,0,0,67,487,467,0,691,645
3,205706,468,550,0,0,0,87,497,481,0,712,647
3,206709,473,547,0,0,0,55,492,482,0,702,646
3,207712,479,547,0,0,0,56,496,490,0,701,648
3,208715,510,550,0,0,0,24,393,470,0,403,663
3,209718,535,700,98,0,0,181,567,410,0,774,629
3,210721,445,557,0,0,0,59,515,539,0,691,563
3,211725,480,550,0,0,0,12,513,528,0,642,591
3,212727,481,561,0,0,0,44,510,492,0,661,616
3,213731,472,558,0,0,0,44,524,526,0,667,619
3,214733,481,556,0,0,0,43,522,520,0,659,622
3,215737,480,555,0,0,0,44,533,528,0,657,626
3,216740,487,561,0,0,0,44,534,527,0,666,629
3,217743,487,557,0,0,0,45,537,527,0,667,629
3,218746,489,557,0,0,0,44,540,528,0,669,630
3,219749,492,557,0,0,0,40,541,528,0,667,630
3,220752,493,559,0,0,0,48,547,529,0,670,622
3,221755,482,535,0,0,0,0,520,553,0,586,617
3,222758,485,543,0,0,0,13,516,501,0,621,626
3,223762,492,545,0,0,0,14,523,510,0,627,631
3,224764,493,545,0,0,0,15,526,515,0,627,633
3,225768,495,548,0,0,0,10,529,518,0,629,635
3,226770,498,549,0,0,0,3,530,520,0,631,636
3,227774,494,548,0,0,0,11,535,524,0,632,635
3,228776,499,551,0,0,0,0,536,526,0,640,639
3,229780,499,550,0,0,0,2,537,529,0,636,638
3,230782,501,551,0,0,0,5,538,529,0,638,638
3,231786,502,554,0,0,0,0,540,531,0,642,639
3,232790,499,550,0,0,0,13,541,533,0,641,638
3,233792,496,549,0,0,0,0,543,534,0,635,638
3,234796,499,536,0,0,0,0,530,540,0,576,631
3,235798,498,537,0,0,0,0,534,542,0,586,628
3,236802,478,530,0,0,0,0,513,520,0,583,626
3,237804,479,525,0,0,0,0,504,516,0,578,620
3,238808,478,524,0,0,0,0,507,522,0,568,620
3,239810,480,527,0,0,0,0,508,522,0,574,623
3,240814,481,525,0,0,0,0,512,525,0,576,619
3,241816,485,527,0,0,0,0,514,526,0,573,621
3,242820,484,528,0,0,0,0,518,527,0,577,623
3,243822,487,528,0,0,0,0,519,528,0,576,624
3,244826,490,528,0,0,0,0,521,529,0,579,626
3,245829,490,530,0,0,0,0,523,530,0,579,627
3,246832,490,529,0,0,0,0,523,531,0,577,628
3,247835,492,528,0,0,0,0,524,532,0,577,627
3,248838,492,529,0,0,0,0,525,531,0,576,627
3,249841,494,530,0,0,0,0,524,531,0,577,626
3,250844,493,529,0,0,0,0,526,531,0,576,626
3,251847,494,530,0,0,0,0,526,531,0,581,630
3,252850,500,542,0,0,0,0,517,510,0,598,631
3,253853,491,535,0,0,0,0,533,520,0,611,634
3,254856,505,550,0,0,0,14,528,496,0,634,637
3,255859,478,526,0,0,0,0,534,522,0,578,630
3,256862,474,511,0,0,0,0,529,523,0,557,616
3,257865,489,594,0,0,0,177,612,532,0,766,608
3,258869,376,649,490,71,0,0,0,179,0,658,108
4,259871,393,442,43,0,0,468,455,502,0,718,719
4,260875,565,666,296,11,0,445,397,124,0,781,742
4,261878,338,483,100,0,0,59,161,484,0,371,18
4,262881,483,574,108,0,0,300,468,486,0,733,670
4,263884,476,588,175,0,0,398,506,432,0,760,690
4,264888,463,567,154,0,0,419,520,392,0,768,718
4,265890,472,574,163,0,0,417,513,387,0,769,723
4,266894,475,577,168,0,0,426,517,393,0,769,725
4,267897,479,578,156,0,0,423,523,404,0,769,723
4,268901,485,590,160,0,0,422,516,403,0,770,725
4,269903,463,566,153,0,0,423,517,419,0,770,721
4,270907,471,575,162,0,0,432,519,399,0,771,721
4,271910,474,577,162,0,0,429,516,392,0,771,722
4,272913,474,572,119,0,0,425,521,407,0,767,724
4,273916,479,573,147,0,0,405,499,400,0,767,722
4,274920,472,573,159,0,0,428,500,406,0,768,719
4,275923,476,575,161,0,0,436,508,410,0,769,721
4,276926,479,576,166,0,0,439,515,411,0,769,722
4,277929,479,577,167,0,0,442,517,413,0,769,722
4,278933,480,577,164,0,0,442,517,416,0,767,722
4,279936,492,592,154,0,0,411,461,378,0,774,730
4,280939,494,596,177,0,0,404,453,379,1,780,731
4,281943,505,606,198,0,0,377,418,375,0,782,743
4,282946,497,603,196,0,0,409,454,389,0,782,738
4,283949,496,601,202,0,0,416,468,396,0,783,739
4,284952,495,603,208,0,0,424,473,401,0,785,739
4,285956,499,607,216,0,0,423,476,404,0,784,741
4,286958,502,608,219,0,0,427,477,400,1,784,742
4,287962,502,608,221,0,0,422,480,404,0,785,742
4,288965,503,609,225,0,0,426,484,403,0,784,742
4,289969,506,611,223,0,0,426,486,405,0,785,744
4,290971,507,611,224,0,0,424,485,407,0,786,745
4,291975,508,612,217,0,0,414,473,407,0,786,744
4,292978,510,612,228,0,0,424,478,407,0,784,745
4,293981,511,613,232,0,0,430,483,407,0,785,746
